latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.982,131.805,397.3,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,311.4,418.1,D
-12.984,131.819,329.3,1.5,1.2,2020-05-30,0150,T,68,6.0NRT,304,30.7,D
-12.995,131.818,340.5,1.5,1.2,2020-05-30,0150,T,90,6.0NRT,302.1,58.7,D
-12.997,131.832,354.5,1.5,1.2,2020-05-30,0150,T,97,6.0NRT,303.5,109.9,D
-12.999,131.846,389,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,309.1,335.5,D
-13,131.86,344.6,1.5,1.2,2020-05-30,0150,T,92,6.0NRT,304,73.5,D
-13.008,131.83,343.5,1.5,1.2,2020-05-30,0150,T,91,6.0NRT,303.1,67.8,D
-13.01,131.844,354.8,1.5,1.2,2020-05-30,0150,T,97,6.0NRT,304.2,108.7,D
-13.011,131.858,361.4,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,305.1,143.6,D
-13.022,131.857,348.4,1.5,1.2,2020-05-30,0150,T,94,6.0NRT,304.2,80.5,D
-13.009,131.824,328.5,1.5,1.2,2020-05-30,0150,T,49,6.0NRT,302.3,25.7,D
-13.011,131.838,346.1,1.5,1.2,2020-05-30,0150,T,93,6.0NRT,303.7,72.7,D
-13.013,131.852,356.3,1.5,1.2,2020-05-30,0150,T,98,6.0NRT,305.1,114.6,D
-13.014,131.866,335.1,1.5,1.2,2020-05-30,0150,T,47,6.0NRT,303.2,38.8,D
-13.024,131.85,340.5,1.5,1.2,2020-05-30,0150,T,89,6.0NRT,304,55.7,D
-13.025,131.864,335.5,1.5,1.2,2020-05-30,0150,T,63,6.0NRT,303.1,40.5,D
-13.033,131.835,324.9,1.5,1.2,2020-05-30,0150,T,75,6.0NRT,304.3,22.2,D
-13.035,131.849,345.2,1.5,1.2,2020-05-30,0150,T,92,6.0NRT,304.3,74.9,D
-13.036,131.863,349.9,1.5,1.2,2020-05-30,0150,T,95,6.0NRT,304.1,89.7,D
-13.045,131.847,343.3,1.5,1.2,2020-05-30,0150,T,91,6.0NRT,305.1,66.8,D
-13.047,131.861,372.1,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,307.6,203.6,D
-13.051,131.89,361.6,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,304.4,143.9,D
-13.053,131.904,345.6,1.6,1.2,2020-05-30,0150,T,92,6.0NRT,303.7,73.3,D
-13.056,131.846,346.6,1.5,1.2,2020-05-30,0150,T,93,6.0NRT,302.5,79.2,D
-13.058,131.86,386.4,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,307.2,313.3,D
-13.06,131.874,336.1,1.5,1.2,2020-05-30,0150,T,70,6.0NRT,303.1,43.7,D
-13.067,131.844,322.4,1.5,1.2,2020-05-30,0150,T,26,6.0NRT,300.9,18.1,D
-13.069,131.858,345,1.5,1.2,2020-05-30,0150,T,92,6.0NRT,300.7,76.8,D
-13.071,131.872,332.1,1.5,1.2,2020-05-30,0150,T,70,6.0NRT,300.6,33.5,D
-13.073,131.887,330.4,1.5,1.2,2020-05-30,0150,T,54,6.0NRT,300.4,27.8,D
-13.075,131.901,340.5,1.6,1.2,2020-05-30,0150,T,89,6.0NRT,301.1,53.9,D
-13.077,131.915,350.2,1.6,1.2,2020-05-30,0150,T,95,6.0NRT,302.9,91.7,D
-13.078,131.929,342.2,1.6,1.2,2020-05-30,0150,T,54,6.0NRT,303.9,65.1,D
-13.078,131.843,325.5,1.5,1.2,2020-05-30,0150,T,56,6.0NRT,300.5,24.9,D
-13.08,131.857,345.9,1.5,1.2,2020-05-30,0150,T,93,6.0NRT,300.9,81.9,D
-13.084,131.885,333.7,1.5,1.2,2020-05-30,0150,T,66,6.0NRT,299.2,39.2,D
-13.086,131.899,361.3,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,302.5,143.3,D
-13.088,131.913,345.8,1.6,1.2,2020-05-30,0150,T,93,6.0NRT,301.4,74.5,D
-13.09,131.928,371.4,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,305.8,202.6,D
-13.091,131.942,377,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,306.6,247.9,D
-13.093,131.956,326.2,1.6,1.2,2020-05-30,0150,T,36,6.0NRT,303.2,26.3,D
-13.097,131.898,334.6,1.6,1.2,2020-05-30,0150,T,82,6.0NRT,300.1,41.1,D
-13.101,131.926,344.7,1.6,1.2,2020-05-30,0150,T,92,6.0NRT,301.2,74.9,D
-13.103,131.941,372.1,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,305.2,211.2,D
-13.104,131.955,338.8,1.6,1.2,2020-05-30,0150,T,88,6.0NRT,303.2,58.7,D
-13.26,133.159,332.3,1.9,1.4,2020-05-30,0150,T,83,6.0NRT,302.1,58.4,D
-13.11,131.911,333.3,1.6,1.2,2020-05-30,0150,T,67,6.0NRT,300.9,35.2,D
-13.112,131.925,339.1,1.6,1.2,2020-05-30,0150,T,88,6.0NRT,302.7,48.3,D
-13.114,131.939,343.1,1.6,1.2,2020-05-30,0150,T,91,6.0NRT,303.1,68.3,D
-13.116,131.953,322,1.6,1.2,2020-05-30,0150,T,44,6.0NRT,302.2,17.8,D
-13.275,133.176,344.3,1.9,1.4,2020-05-30,0150,T,92,6.0NRT,302.4,108.7,D
-13.123,131.923,338.3,1.6,1.2,2020-05-30,0150,T,80,6.0NRT,302.6,42.6,D
-13.113,131.919,333.6,1.6,1.2,2020-05-30,0150,T,69,6.0NRT,302.2,28.5,D
-13.114,131.933,335.9,1.6,1.2,2020-05-30,0150,T,19,6.0NRT,302.9,40,D
-13.266,133.171,338.9,1.9,1.4,2020-05-30,0150,T,88,6.0NRT,303.6,81.6,D
-13.124,131.917,331.3,1.6,1.2,2020-05-30,0150,T,64,6.0NRT,301.9,23,D
-13.28,133.188,324.1,1.9,1.4,2020-05-30,0150,T,48,6.0NRT,302.2,31.3,D
-13.148,131.929,339.7,1.6,1.2,2020-05-30,0150,T,69,6.0NRT,302.3,52.7,D
-13.149,131.943,361.2,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,305.7,145.1,D
-13.151,131.958,338,1.6,1.2,2020-05-30,0150,T,77,6.0NRT,303.8,54.7,D
-13.157,131.913,354.6,1.6,1.2,2020-05-30,0150,T,97,6.0NRT,302.4,112.5,D
-13.159,131.927,376.9,1.6,1.2,2020-05-30,0150,T,100,6.0NRT,304.4,245.4,D
-13.16,131.942,349.6,1.6,1.2,2020-05-30,0150,T,95,6.0NRT,302.2,93.4,D
-13.162,131.956,341.2,1.6,1.2,2020-05-30,0150,T,90,6.0NRT,302.5,65.8,D
-13.164,131.97,326.1,1.6,1.2,2020-05-30,0150,T,61,6.0NRT,302.1,27.1,D
-13.168,131.912,337.9,1.6,1.2,2020-05-30,0150,T,88,6.0NRT,300.7,59.4,D
-13.17,131.926,344.5,1.6,1.2,2020-05-30,0150,T,92,6.0NRT,301.2,83,D
-13.172,131.94,348.7,1.6,1.2,2020-05-30,0150,T,94,6.0NRT,302,97.9,D
-13.173,131.955,350.1,1.6,1.2,2020-05-30,0150,T,95,6.0NRT,303.6,104.1,D
-13.175,131.969,316.8,1.6,1.2,2020-05-30,0150,T,60,6.0NRT,301,11.9,D
-13.1,131.313,317.6,1.4,1.2,2020-05-30,0150,T,47,6.0NRT,303.4,9.4,D
-13.175,131.882,315.4,1.6,1.2,2020-05-30,0150,T,54,6.0NRT,301.1,11.8,D
-13.27,132.524,317,1.7,1.3,2020-05-30,0150,T,51,6.0NRT,301.7,14.4,D
-13.272,132.54,317.4,1.7,1.3,2020-05-30,0150,T,62,6.0NRT,300.7,15.9,D
-13.314,132.681,316.6,1.8,1.3,2020-05-30,0150,T,38,6.0NRT,301.8,14.6,D
-13.507,134.193,316,2.3,1.5,2020-05-30,0150,T,49,6.0NRT,301.7,20.9,D
-13.311,132.692,317.6,1.8,1.3,2020-05-30,0150,T,64,6.0NRT,302.5,18.1,D
-13.552,133.821,317.4,2.2,1.4,2020-05-30,0150,T,63,6.0NRT,299.9,24.6,D
-13.92,136.449,313,3.6,1.8,2020-05-30,0150,T,40,6.0NRT,294.6,44,D
-13.523,132.736,316.1,1.8,1.3,2020-05-30,0150,T,54,6.0NRT,301.7,15.5,D
-13.488,131.561,315.7,1.5,1.2,2020-05-30,0150,T,59,6.0NRT,301.4,10.6,D
-13.745,132.41,316.5,1.7,1.3,2020-05-30,0150,T,61,6.0NRT,301.3,14.9,D
-13.914,132.748,316.7,1.8,1.3,2020-05-30,0150,T,61,6.0NRT,301.4,15.3,D
-14.227,134.585,314.7,2.6,1.5,2020-05-30,0150,T,52,6.0NRT,299.4,20.8,D
-14.287,132.369,316.1,1.7,1.3,2020-05-30,0150,T,56,6.0NRT,301.3,10,D
-14.174,130.361,320.8,1.3,1.1,2020-05-30,0150,T,50,6.0NRT,305.1,10.4,D
-14.176,130.372,336.8,1.3,1.1,2020-05-30,0150,T,87,6.0NRT,303.9,39.6,D
-15.154,135.57,314.5,3.2,1.7,2020-05-30,0150,T,49,6.0NRT,297.9,27.9,D
-14.473,129.55,330.1,1.2,1.1,2020-05-30,0150,T,81,6.0NRT,303,26,D
-14.482,129.549,319.6,1.2,1.1,2020-05-30,0150,T,46,6.0NRT,301.3,10.9,D
-14.883,131.111,321.9,1.4,1.2,2020-05-30,0150,T,69,6.0NRT,304.5,16.9,D
-14.892,131.096,326.6,1.4,1.2,2020-05-30,0150,T,76,6.0NRT,303.6,25.4,D
-14.894,131.109,326.9,1.4,1.2,2020-05-30,0150,T,77,6.0NRT,302.8,25.8,D
-14.376,126.132,326.5,1,1,2020-05-30,0150,T,76,6.0NRT,303.6,14.8,D
-13.969,123.311,311.3,1.4,1.2,2020-05-30,0150,T,48,6.0NRT,295.2,11.3,D
-15.222,130.736,322.6,1.4,1.2,2020-05-30,0150,T,69,6.0NRT,306,13.6,D
-15.251,130.797,320.6,1.4,1.2,2020-05-30,0150,T,27,6.0NRT,305.2,9.8,D
-15.717,132.221,324.5,1.8,1.3,2020-05-30,0150,T,74,6.0NRT,304.8,30,D
-26.191,-57.563,313,1,1,2020-05-30,0230,T,86,6.0NRT,284.4,15.1,N
-26.179,-57.544,308.6,1,1,2020-05-30,0230,T,75,6.0NRT,283,12,N
-26.18,-57.554,335.3,1,1,2020-05-30,0230,T,100,6.0NRT,284.4,40.9,N
-26.182,-57.564,315.1,1,1,2020-05-30,0230,T,90,6.0NRT,283.8,16.5,N
-24.226,-58.305,312.1,1.1,1,2020-05-30,0230,T,84,6.0NRT,286.5,14.3,N
-24.227,-58.315,319.3,1.1,1,2020-05-30,0230,T,98,6.0NRT,286.3,21,N
-23.644,-57.071,305.7,1,1,2020-05-30,0230,T,65,6.0NRT,287.3,8.2,N
-23.286,-57.928,305.3,1,1,2020-05-30,0230,T,64,6.0NRT,285.4,8.6,N
-23.293,-59.754,308.8,1.2,1.1,2020-05-30,0230,T,76,6.0NRT,288.3,13.1,N
-23.292,-59.761,302,1.2,1.1,2020-05-30,0230,T,46,6.0NRT,287.9,8.3,N
-22.784,-61.75,317.9,1.5,1.2,2020-05-30,0230,T,96,6.0NRT,287.5,33,N
-21.971,-58.445,310,1,1,2020-05-30,0230,T,79,6.0NRT,290.4,11,N
-21.961,-58.447,323.6,1,1,2020-05-30,0230,T,100,6.0NRT,290.2,23.4,N
-20.822,-56.511,300.5,1,1,2020-05-30,0230,T,28,6.0NRT,288,5.4,N
-21.142,-61.263,313.7,1.3,1.1,2020-05-30,0230,T,88,6.0NRT,288.6,19.5,N
-21.143,-61.276,320.9,1.3,1.2,2020-05-30,0230,T,100,6.0NRT,289.3,29.5,N
-21.132,-61.264,322.3,1.3,1.1,2020-05-30,0230,T,100,6.0NRT,288.4,32.4,N
