latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.741,9.789,322.9,1.4,1.2,2020-06-05,0130,A,100,6.0NRT,295.2,34.9,N
28.738,9.804,311.4,1.4,1.2,2020-06-05,0130,A,82,6.0NRT,294.5,17.5,N
28.688,7.192,314.5,1.1,1,2020-06-05,0130,A,89,6.0NRT,295.5,13.2,N
28.686,7.203,312.6,1.1,1,2020-06-05,0130,A,85,6.0NRT,296.3,11.5,N
28.562,7.466,305.3,1.1,1,2020-06-05,0130,A,64,6.0NRT,293.5,5.9,N
68.519,164.494,307.6,1,1,2020-06-05,0110,A,66,6.0NRT,292.2,5.5,D
68.515,164.471,308.6,1,1,2020-06-05,0110,A,67,6.0NRT,293.2,6.3,D
68.527,164.484,307.2,1,1,2020-06-05,0110,A,49,6.0NRT,291.4,5,D
68.524,164.461,326,1,1,2020-06-05,0110,A,84,6.0NRT,294.2,21.7,D
68.814,152.388,302.8,1.4,1.2,2020-06-05,0110,A,0,6.0NRT,286.2,7.3,D
68.808,152.391,304.3,1.4,1.2,2020-06-05,0110,A,0,6.0NRT,288.4,8.6,D
43.448,4.89,301.1,1.3,1.1,2020-06-05,0125,A,38,6.0NRT,284.9,9.1,N
43.446,4.906,308.6,1.3,1.1,2020-06-05,0125,A,75,6.0NRT,285.2,15.9,N
39.111,125.783,322.6,1,1,2020-06-05,0240,T,77,6.0NRT,300.1,13.4,D
39.109,125.795,317.3,1,1,2020-06-05,0240,T,58,6.0NRT,297.2,8.6,D
36.854,126.443,314.6,1.2,1.1,2020-06-05,0240,T,69,6.0NRT,297.1,10.3,D
48.902,125.72,309,1,1,2020-06-05,0235,T,57,6.0NRT,297.9,4.9,D
46.978,128.018,310.9,1,1,2020-06-05,0235,T,65,6.0NRT,294.8,5.6,D
45.799,128.047,311.8,1,1,2020-06-05,0235,T,57,6.0NRT,295.9,7.7,D
45.751,127.477,319.8,1,1,2020-06-05,0235,T,63,6.0NRT,296.3,9.5,D
45.749,127.49,317.7,1,1,2020-06-05,0235,T,41,6.0NRT,296.5,7.8,D
45.769,125.411,320.2,1,1,2020-06-05,0235,T,42,6.0NRT,298.8,10.6,D
45.573,126.582,314.3,1,1,2020-06-05,0235,T,36,6.0NRT,294.7,5.6,D
45.355,126.609,319.5,1,1,2020-06-05,0235,T,58,6.0NRT,298,10.5,D
41.846,123.757,328.8,1,1,2020-06-05,0235,T,79,6.0NRT,307.4,17.2,D
41.384,123.277,320,1,1,2020-06-05,0235,T,46,6.0NRT,299.6,8.3,D
41.165,122.992,325.5,1.1,1,2020-06-05,0235,T,64,6.0NRT,307.7,9.6,D
41.163,123.004,331.1,1.1,1,2020-06-05,0235,T,83,6.0NRT,307,17,D
41.054,123.744,311.7,1,1,2020-06-05,0235,T,52,6.0NRT,298.4,7.2,D
-31.148,115.523,306.4,2.3,1.5,2020-06-05,0255,T,59,6.0NRT,294.3,17.3,D
16.514,121.184,319,1.2,1.1,2020-06-05,0245,T,72,6.0NRT,300.8,9.2,D
15.05,120.709,322.9,1.2,1.1,2020-06-05,0245,T,44,6.0NRT,302.7,11.3,D
14.753,121.154,321.9,1.3,1.1,2020-06-05,0245,T,25,6.0NRT,302.2,14.1,D
14.486,120.897,321.7,1.2,1.1,2020-06-05,0245,T,39,6.0NRT,304.8,15.1,D
14.476,120.895,320.8,1.2,1.1,2020-06-05,0245,T,24,6.0NRT,303.7,12.9,D
14.114,121.558,316.4,1.4,1.2,2020-06-05,0245,T,64,6.0NRT,301.6,12.4,D
14.132,121.126,321.8,1.3,1.1,2020-06-05,0245,T,53,6.0NRT,302.3,13.4,D
14.03,120.996,326.9,1.3,1.1,2020-06-05,0245,T,0,6.0NRT,308.3,22.9,D
14.028,121.007,325.9,1.3,1.1,2020-06-05,0245,T,0,6.0NRT,308.2,20.9,D
14.029,121.001,326.6,1.3,1.1,2020-06-05,0245,T,0,6.0NRT,308.3,21.3,D
14.017,121.011,329.5,1.3,1.1,2020-06-05,0245,T,0,6.0NRT,310.2,28.1,D
10.938,114.093,311.7,1.3,1.1,2020-06-05,0245,T,50,6.0NRT,298.4,7.8,D
10.91,114.072,312.7,1.3,1.1,2020-06-05,0245,T,52,6.0NRT,298.6,8.9,D
9.948,118.759,316.8,1.1,1,2020-06-05,0245,T,0,6.0NRT,299.7,7.2,D
9.737,118.744,318.2,1.1,1,2020-06-05,0245,T,0,6.0NRT,299.1,8.6,D
10.73,107.784,332.5,3.7,1.8,2020-06-05,0245,T,74,6.0NRT,291,151.1,D
10.738,107.777,328.1,3.7,1.8,2020-06-05,0245,T,81,6.0NRT,291,112.3,D
9.542,112.886,311.2,1.4,1.2,2020-06-05,0245,T,47,6.0NRT,298.1,9,D
6.032,125.096,315.5,3.6,1.8,2020-06-05,0245,T,32,6.0NRT,288.2,62.6,D
